county,area,date,time,places,file,code,old_date,clean_date,time_clean,start_str,end_str,start_dt,end_dt,duration_hours,day_of_week
nairobi,"KAHAWA WEST , GITHURAI 44",2025-01-27,9.00  A.M. – 5.00 P.M .,"['Zimmerman', 'Parts of Githurai 44', 'Kahawa Baracks', 'Part of Kenyatta University', 'Part of Kahawa West', 'Farmers  Choice  & adjacent customers .']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,047,Monday 27.01.2025,Monday 27.01.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Monday
nairobi,NAIROBI WEST,2025-01-27,9.00 A.M. – 5.00 P.M.,"['Part of Nairobi West', 'Naimey Rd', 'ICC  Church', 'Ghandi Avenue', 'Nairobi West', 'Hosp', 'Kodi Rd', 'Swara Crescent', 'PAA Crescent', 'Kifaru Crescent', 'Sumba Rd', 'Msufu Rd', 'Rio Htl', 'Part of Muhoho Avenue', 'Ole Sangale Rd', 'Madaraka Est', 'Gakuri Akure Rd', 'Strathmore University', 'Keri Rd', 'Nyayo Stadium', 'Masaba Rd', 'Part of Bunyala Rd', 'Siwaka Est &  adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,047,Monday 27.01.2025,Monday 27.01.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Monday
nairobi,PART OF RUARAKA,2025-01-28,9.00  A.M. – 5.00 P.M .,"['Kasarani Stadium', 'Regional Centre of Mapping of Resources', 'Little Sisters', 'Safaricom Data Centre', 'Conso /Central Glass Company & adjacent customers .']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,047,Tuesday 28.01.2025,Tuesday 28.01.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Tuesday
nairobi,PART OF KASARANI,2025-01-30,9.00A.M . – 5.00 P.M .,"['Sunton', 'Linet Academy', 'Clay City Police', 'Part of Garage', 'Part of Majimazuri', 'Aberdare', 'Mukinduri  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,047,Thursday 30.01.2025,Thursday 30.01.2025,9.00A.M.- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Thursday
nairobi,"PART OF LANGATA, PART OF KAREN",2025-01-28,9.00 A.M. – 5.00 P.M.,"['St Thomas Seminary', 'Magadi Rd', 'Bogani East Rd', 'Park View', 'Simba Hill', 'Kisembe', 'Safe Park', 'Kipevu', 'Banda', 'Ndorobo', 'Catholic University', 'KWS', 'Langata Barracks', 'Jambo Est', 'Phenom Est', 'Phenom park', 'Doroty Park', 'Daisy', 'Park', 'Carnivore', 'Muiri Lane', 'Cale', 'Samaj', 'Shree Cutch', 'Westpark Police Line', 'GK Prisons', 'Ngei 1 & 2', 'Otiende Est', 'Onyonka', 'Royal Park', 'Akiba Langata', 'Southlands', 'Uhuru Gardens', 'Park Est', 'Royal Park', 'KMA NHC Langata', 'Karen C', 'Pri & Sec', 'Hill Crest', 'Fair Acres', 'Light Academy', 'Silanga Rd', 'Marist University', 'Kuwinda Est', 'Mukinduri', 'Murishu', 'Mokoyet East  & West', 'Langata North  Rd', 'Academy Rd', 'Kufuga Rd', 'Langata South Rd', 'Bogani Rd', 'Ndovu Rd', 'Ndalat', 'JKUAT', 'Kasuku Rd', 'Silanga Rd', 'Muiri Rd', 'CITAM Karen', 'Galleria Shopping Mall', 'Water Mark', 'Nyumba Moja Rd & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,047,Tuesday 28. 01.2025,Tuesday 28.01.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Tuesday
nairobi,PART OF KIBERA,2025-01-28,9.00 A.M. – 5.00 P.M.,"['Soweto Academy', 'Olympic Est', 'Olympic Pri  & Sec', 'Gatwekera', 'SOFCO', 'Karanja', 'Rd', 'Fort Jesus', 'Makina', 'Kibera Law Court', 'Raila Est  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,047,Tuesday 28. 01.2025,Tuesday 28.01.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Tuesday
nairobi,"PART OF DAGORETTI RD , PART OF KIKUYU RD",2025-01-29,9.00 A.M. – 5.00 P.M.,"['Dagoretti Children’s Home', 'Dagoretti Mkt', 'Gitiba Pri', 'Kirigu Pri', 'Gachui', 'Waithaka', 'Shopping Centre', 'Part of Kikuyu Rd', 'Part of Dagoretti Rd', 'Kirigu Cemetery', 'Patheneous  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,047,Wednesday 29. 01.2025,Wednesday 29.01.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Wednesday
nairobi,"PART OF NAIVASHA RD, KINGARA RD, HATHERU RD, WANYEE RD",2025-01-30,9.00 A.M. – 5.00 P.M.,"['Part of Naivasha Rd', 'Melchizedek Hosp', 'Corner Heights', 'Makena 47', 'Apartments', 'Part of Riara Rd', 'Riara Close', 'Kingara Rd', 'Kingara Close', 'Mbaazi', 'Close', 'Part of Mbaazi  Avenue', 'Merlin Court', 'MAC Apartments', 'Part of Gitanga', 'Rd', 'Part of Jacaranda Avenue', 'EBRU TV Stn', 'Part of James Gichuru Rd', 'Rubis', 'Petrol Stn James Gichuru', 'Whole of  Hatheru Rd', 'Bamboo Lane', 'Part of Dagoretti', 'Corner', 'Wanyee Rd', 'Deliverance Stage', 'Braeburn Sch', 'Rusinga Sch', 'Kawangware Pri', 'Kawangware  Coast', 'Part of Gitanga  Rd', 'Kawangware', 'Musalaba', 'Muslim Rd', 'Satellite Est', 'Kinyanjui Rd', 'Part of Kabiria Rd', 'Kinyanjui', 'Technical', 'Urban Oasis', 'Mulberry Apartments  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,047,Thursday  30.01.2025,Thursday 30.01.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Thursday
narok,"ROTIAN, KISIRIRI,  TIPIS",2025-01-29,8.00 A .M.- 4.00 P.M.,"['Motonyi', 'Rotian', 'Kisiriri', 'Naisoya', 'Enengetia', 'Enabelbel', 'Olokirkirai', 'Tipis', 'Oloropil', 'Topoti', 'Empatpat', 'Olchorro  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,033,Wednesday 29.01.2025,Wednesday 29.01.2025,8.00 AM- 4.00 PM,08:00 AM,04:00 PM,1900-01-01 08:00:00,1900-01-01 16:00:00,8.0,Wednesday
narok,NAROK TOWN,2025-01-30,8.00 A .M. - 4.00 P.M.,"['Narok Town', 'Majengo', 'Fanaka', 'London', 'Adams Est  & adjacent customers .']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,033,Thursday 30.01.2025,Thursday 30.01.2025,8.00 AM- 4.00 PM,08:00 AM,04:00 PM,1900-01-01 08:00:00,1900-01-01 16:00:00,8.0,Thursday
uasin gishu,"JUA KALI MARKET, CEMTECH FACTORY",2025-01-26,9.30 A.M. – 5.00.P.M.,"['Kampi Kuku', 'Kamoret', 'Jua Kali Mkt', 'Cemtech (Simba Cement) Fact  & adjacent', 'customers .']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,027,Sunday 26.01.2025,Sunday 26.01.2025,9.30 AM- 5.00.PM,09:30 AM,05:00 PM,1900-01-01 09:30:00,1900-01-01 17:00:00,7.5,Sunday
meru,"EMBORI, KISIMA, TIMAU, KIAMBOGO",2025-01-27,9.00 A.M . – 5.00 P .M.,"['Embori Flowers', 'Uhuru Flowers', 'Kisima Flowers', 'Pj Dave Ltd', 'Timaflor', 'AAA', 'Growers', 'Kisima Sec', 'Kongoni Farm', 'Mbuju Pri', 'Thamba Ngombe', 'Tambuzi', 'Whole of Timau  Mkt', 'Kiambogo  Pri', 'Ngusishi', 'Siraji', 'Nelion', 'Oldonyo', 'Timaflour', 'Farms', 'Ethi', 'Ngarendare  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,012,Monday  27.01.2025,Monday 27.01.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Monday
isiolo,"MERTI, BISAN BILIQO, BULESA",2025-01-30,8.00A .M. - 3.00 P.M.,"['Merti Town', 'Merti Pry', 'Macci Boys', 'Bulesa Dispensary', 'Bisan Biliqo Primary  &', 'adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,011,Thursday 30.01.2025,Thursday 30.01.2025,8.00A.M.- 3.00 PM,08:00 AM,03:00 PM,1900-01-01 08:00:00,1900-01-01 15:00:00,7.0,Thursday
nyeri,"SAGANA STATE LODGE, IRURI MKT",2025-01-28,9.00 A.M . – 5.00 P .M.,"['Sagana State Lodge', 'Iruri Mkt', 'Kiganjo Fisheries', 'Karandi Mkt', 'Mutaga Mkt', 'Sagana Village', 'Iganjo  village', 'Safaricom Boosters', 'Airtel Boosters  & adjacent', 'customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,019,Tuesday  28.01.2025,Tuesday 28.01.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Tuesday
nyeri,"KARUNDAS, MBIRIRI",2025-01-28,8.00 A.M . – 5.00 P .M.,"['Muthinga', 'Gichira', 'Kaigonde', 'Kangubiri', 'Mungaria', 'Kangaita', 'Gaki', 'Gachima', 'Kiawaithanji', 'Kiambuiri  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,019,Tuesday 28.01.2025,Tuesday 28.01.2025,8.00 AM- 5.00 PM,08:00 AM,05:00 PM,1900-01-01 08:00:00,1900-01-01 17:00:00,9.0,Tuesday
nyeri,"MUTHINGA, KANGUBIRI",2025-01-28,8.00 A.M – 5.00 P .M.,"['Karundas', 'Maragima', 'Gatei', 'Mbiriri', 'Mapema', 'Samaria', 'Thegu Resort', 'Tagwa  &', 'adjacent customers.', 'For further information', 'contact', 'the nearest Kenya Power office', 'Interruption n otices may be viewed at', 'www.kplc.co.ke', 'Interruption of', 'Electricity Supply', 'Notice is hereby given under Rule 27 of the Electric Power Rules', 'That the electricity supply will be interrupted as here under:', '(It is necessary to interrupt supply periodically in order to facilitate', 'maintenance and upgrade of power lines to the network; to connect new', 'customers or to replace power lines during road construction', 'etc.)']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,019,Tuesday  28.01.2025,Tuesday 28.01.2025,8.00 AM - 5.00 PM,08:00 AM,05:00 PM,1900-01-01 08:00:00,1900-01-01 17:00:00,9.0,Tuesday
embu,"EMBU COLLEGE, KANJURU EST, KENSTAR H /WARE, IRANGI",2025-01-28,9.00 A.M. – 4.00 P.M.,"['Part of Embu Town', 'Moffas Building', 'Embu  College', 'Dallas  Est', 'Dallas Shopping', 'Centre', 'Kanjuru Est', 'Kenster Hardware', 'Irangi Food Processing', 'Ngariama', 'Mini', 'Inn', 'Tangier', 'Embu PGH', 'Embu Urban Pri Sch', 'Part of Shauri Mkt', 'County', 'Government Offices  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,014,Tuesday 28.01.2025,Tuesday 28.01.2025,9.00 AM- 4.00 PM,09:00 AM,04:00 PM,1900-01-01 09:00:00,1900-01-01 16:00:00,7.0,Tuesday
kiambu,"MATARA, KANYONI, GAKUNYI, GITUAMBA",2025-01-27,9.00 A.M. - 5.00 P.M.,"['Kiriko Mission', 'Matara T /Factory', 'Gachege T /Factory', 'Ndarugu T /Factory', 'Matara Dispensary', 'Kanyoni Mkt', 'Gicheha Mkt', 'Thuraku Village', 'Karatu Mkt', 'Karinga Girls', 'Gitwe Mkt', 'Gikure Mkt', 'Ituramiru Mkt', 'Gakunyi', 'Gituamba Mkt  &', 'adjacent  customers .']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,022,Monday 2 7.01.2025,Monday 27.01.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Monday
kiambu,"KIGANJO RD, MOTOMO",2025-01-28,9.00 A.M. - 5.00 P.M.,"['Banana Mkt', 'Karuri Mkt', 'Karuri Hosp', 'Karuri Police', 'Muthurwa Sch', 'Homex', 'Ndenderu Mkt', 'Part of Gacharage', 'Rueno Police', 'Dispensary', 'Mother Mercy', 'Church', 'Safaricom  Data  Center  & adjacent customers .']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,022,Tuesday 28.01. 2025,Tuesday 28.01.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Tuesday
kiambu,"THINDIGUA, RUNDA",2025-01-30,9.00 A.M. - 5.00 P.M.,"['Thindigua', 'St Marys Runda', 'Paradise', 'Elysian Hotel  & adjacent customers .', 'COAST REGION']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,022,Thursday 30.01. 2025,Thursday 30.01.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Thursday
mombasa,TUDOR,2025-01-28,9.00 A.M. - 5.00 P.M.,"['Technical University of Mombasa', 'Tudor Sub County Hosp', 'Tudor Nora', 'Rasini', 'Rd', 'Tudor Kwa Mchele', 'Tudor Kiziwi', 'St Joseph Catholic', 'Tudor Mwisho', 'Kaa', 'Chonjo', 'Nyumba Ya Wazee', 'Kwa Amo Biriyani', 'Tudor Water Sports  & adjacent', 'customers .']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,001,Tuesday 28.01. 2025,Tuesday 28.01.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Tuesday
mombasa,"VIKAWATANI , PARTS OF MTOPANGA",2025-01-30,9.00 A.M. - 5.00 P.M.,"['Coast General', 'Mtop anga Catholic', 'Mtopanga Est', 'Camp David', 'Kwa', 'Sonko /Mtopanga Post', 'Masjid Arafat /Anwar Ali', 'KCB', 'Beyond Scope', 'Bakarani', 'Stage', 'Katisha', 'Concordia Pri', 'Masjid Sakina', 'Kajiweni  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,001,Thursday 30.01. 2025,Thursday 30.01.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Thursday
kilifi,GONGONI SALT WORK  MALINDI,2025-01-29,9.00 A.M. – 5.00 P.M.,"['Krystal Line Salts Gongoni', 'Malindi Salts Works', 'Kensalts Gongoni', 'Gongoni', 'Mkt', 'Kakuyuni  Mkt', 'Savanna Residence', 'Sabaki  area', 'Mijikenda Residence', 'KBC', 'Marekebuni', 'Marafa  Mkt', 'Garashi Dispensary', 'Wakala Mkt', 'Adu Kamale', 'San Marico Ngomeni  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,003,Wednesday 29 .01.2025,Wednesday 29.01.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Wednesday
kilifi,RABAI,2025-01-30,9.00 A.M. – 5.00 P.M.,"['PVC Africa', 'Salima Gases', 'Mwele', 'Kombeni', 'Mwawesa', 'Rabai Mining', 'Chonyi', 'Pri', 'Changombe', 'Chiveri Pry', 'Mkapuni', 'Batani', 'Kasidi', 'Mwanjama', 'Kawala Pri', 'Makanzani', 'Kwa Juaje', 'Mikahani', 'Makobeni', 'Kambe', 'Ziro Pr i', 'Pangani', 'Tsagwa', 'Jibana Health', 'Mbuyuni', 'Chije Pri', 'Jeuri Pri & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,003,Thursday 30.01.2025,Thursday 30.01.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Thursday
kilifi,PARTS OF KIKAMBALA,2025-01-31,9.00 A.M. – 5.00 P.M.,"['Mudzini Sch', 'Bodoi Stage', 'Bodoi Kwa Ng’ombe', 'Bodoi Pri', 'Salwa Kenya', 'Bodoi', 'Village', 'Sun N Sand Beach Htl', 'Fairdeal Park', 'Kikambala Catholic', 'Swati', 'Investments', 'Umbrella Steel', 'Blue Sky', 'Kilifi Pearl', 'Kirkland', 'Miembe Saba  &', 'adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,003,Friday 31.01.2025,Friday 31.01.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Friday
kwale,GALU KININDO,2025-01-28,9.00 A.M. - 5.00 P.M.,"['Lantana Galu', 'Lala Galu', 'Diani Beach Park', 'Pinewood', 'Koromandale', 'Sonrisa', 'Chale  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,002,Tuesday 28.01. 2025,Tuesday 28.01.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Tuesday
kwale,SHAMU AND ENVIRONS,2025-01-29,9.00 A.M. – 5.00 P.M.,"['Kentaste', 'Shamu', 'Kona Musa', 'Babla', 'Mwapala', 'Maasai Corner & adjacent', 'customers .']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,002,Wednesday 29 .01.2025,Wednesday 29.01.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Wednesday
kwale,PARTS OF DIANI BEACH ROAD,2025-01-30,9.00 A.M. – 5.00 P.M.,"['Carrefour', 'Swahili Beach', 'Kaskazi Beach', 'Diani Shopping Centre', 'Chandarana', '& adjacent customers.', 'For further information', 'contact', 'the nearest Kenya Power office', 'Interruption n otices may be viewed at', 'www.kplc.co.ke', 'Power Maintenance Notice', 'Notice is hereby given under R ule 27 of the Electric Power Rules', 'That the electricity supply will be interrupted as here under:', '(It is necessary to interrupt supply periodically in order to facilitate maintenance and', 'upgrade of power lines to the network; to connect new customers or to replace power', 'lines during road construction', 'etc.)']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf,002,Thursday 30.01.2025,Thursday 30.01.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Thursday
nairobi,PART OF KITSURU,2025-08-18,7.00 A.M. – 5.00 P.M.,"['Kinanda Rd', 'ISK', 'Kirawa Rd', 'Manga Garden', 'Kitsuru Forward', 'Tate Close', 'Serenity', 'Spa', 'Mitini Est', 'Ngecha Est', 'Lake View Est & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf,047,Monday 18.08.2025,Monday 18.08.2025,7.00 AM- 5.00 PM,07:00 AM,05:00 PM,1900-01-01 07:00:00,1900-01-01 17:00:00,10.0,Monday
nairobi,PART OF LORESHO,2025-08-19,7.00 A.M. – 5.00 P.M.,"['Lower Kabete Rd up to Hillview Est', 'Loresho Ridge', 'Shanzu Rd', 'Nairobi Sch', 'Kibagare Way', 'Kyuna Rd & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf,047,Tuesday 19.08.2025,Tuesday 19.08.2025,7.00 AM- 5.00 PM,07:00 AM,05:00 PM,1900-01-01 07:00:00,1900-01-01 17:00:00,10.0,Tuesday
nairobi,GITHURAI,2025-08-19,9.00 A.M. – 5.00 P.M.,"['Githurai 44 around Sonic', 'Zimmerman around Roysambu Pri Sch', 'Jacaranda', 'Gardens & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf,047,Tuesday 19.08.2025,Tuesday 19.08.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Tuesday
nairobi,KIAMUMBI,2025-08-20,9.00 A.M. – 5.00 P.M.,['Whole of Kiamumbi & adjacent customers.'],01K2P78RAN74262NZS75AAQSVC.pdf,047,Wednesday 20.08.2025,Wednesday 20.08.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Wednesday
nairobi,"MUTHAIGA, PART OF PARKLANDS",2025-08-20,7.00 A.M. – 5.00 P.M.,"['Muthaiga', '6th Parklands', 'Legal Plaza', 'Mobil Plaza', 'Mwambao Rd', 'Part of Limuru', 'Rd', 'Getrude Hosp & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf,047,Wednesday 20.08.2025,Wednesday 20.08.2025,7.00 AM- 5.00 PM,07:00 AM,05:00 PM,1900-01-01 07:00:00,1900-01-01 17:00:00,10.0,Wednesday
nairobi,PART OF WESTLANDS,2025-08-21,7.00 A.M. – 5.00 P.M.,"['General Mathenge', 'Peponi Rd', 'Peponi Gardens', 'Spring Valley Rd', 'Peponi Cliff', 'Donyo Sabuk', 'Pine Wood Apts', 'Part of Eldama Ravin Rd & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf,047,Thursday 21.08.2025,Thursday 21.08.2025,7.00 AM- 5.00 PM,07:00 AM,05:00 PM,1900-01-01 07:00:00,1900-01-01 17:00:00,10.0,Thursday
nairobi,PART OF LOWER KABETE,2025-08-22,7.00 A.M. – 5.00 P.M.,"['Lower Kabete Campus', 'Lower Kabete Pri', 'Farasi Pri', 'Peponi Sch', 'Farasi Crescent', 'Lower Kabete Rd', 'New Kitsuru', 'Kitsuru Springs', 'Mwimuto Mkt', 'Gituamba &', 'adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf,047,Friday 22.08.2025,Friday 22.08.2025,7.00 AM- 5.00 PM,07:00 AM,05:00 PM,1900-01-01 07:00:00,1900-01-01 17:00:00,10.0,Friday
nairobi,PART OF KITSURU,2025-08-23,7.00 A.M. – 5.00 P.M.,"['Thingiri', 'Nyari South', 'Kitsuru Rd', 'Spring Valley Rd', 'Bendera Lane', 'Parts of Gachie', '& adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf,047,Saturday 23.08.2025,Saturday 23.08.2025,7.00 AM- 5.00 PM,07:00 AM,05:00 PM,1900-01-01 07:00:00,1900-01-01 17:00:00,10.0,Saturday
makueni,"SULTAN, KASIKEU",2025-08-19,9.00 A.M. – 5.00 P.M.,"['Sultan Hamud Town', 'Sultan Sub -County Hosp', 'Major Muiu Quarry', 'Kavuthu Mkt', 'Kasikeu Mkt', 'Barazani Mkt', 'Nduluni Mkt & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf,017,Tuesday 19.08.2025,Tuesday 19.08.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Tuesday
machakos,KANGUNDO ROAD FROM JOSKA TO NGULUNI,2025-08-17,7.00 A.M. – 5.00 P.M.,"['Whole of Joska', 'Mutalia', 'Kware', 'Malaa', 'Kantafu', 'KBC', 'Koma', 'Sunshine', 'Kinanie', 'Leather Industries', 'Bridgan', 'Ngalaya', 'Kwa Makau', 'Quick Mart Joska', 'Kaseveni', 'Itere Rd', 'Nimrod', 'Nguluni', 'All Quarries & Crushers at Mussini & adjacent', 'customers.']",01K2P78RAN74262NZS75AAQSVC.pdf,016,Sunday 17.0 8.2025,Sunday 17.08.2025,7.00 AM- 5.00 PM,07:00 AM,05:00 PM,1900-01-01 07:00:00,1900-01-01 17:00:00,10.0,Sunday
machakos,TALA,2025-08-17,7.00 A.M. – 5.00 P.M.,"['Whole of Tala', 'East Mart Tala', 'Tala Mkt', 'Kyamulendu', 'Katine', 'Kisukioni', 'Tala', 'Ridge', 'Tala Boys', 'Kwa Mutula', 'Sengani', 'Kinyui', 'Kyanzavi', 'Matuu Ma Mwitu', 'Katulye', 'Kyumbuni', 'Ngalalya Mkt', 'Wendano', 'Kathithyama', 'Katwanya & adjacent', 'customers.']",01K2P78RAN74262NZS75AAQSVC.pdf,016,Sunday 17.0 8.2025,Sunday 17.08.2025,7.00 AM- 5.00 PM,07:00 AM,05:00 PM,1900-01-01 07:00:00,1900-01-01 17:00:00,10.0,Sunday
machakos,KANGUNDO,2025-08-17,7.00 A.M. – 5.00 P.M.,"['Whole of Kangundo', 'Kangundo Hosp', 'Kakuyuni', 'Santhi', 'Mukukuni', 'Kasyulya', 'Ngove', 'Kawethei', 'Mbusyani', 'Kyavaluki', 'Kikomba Mkt', 'Mukuyni', 'Kivaani Mkt', 'Kithuiani Mkt', 'Kambusu', 'Kikambuani & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf,016,Sunday 17.0 8.2025,Sunday 17.08.2025,7.00 AM- 5.00 PM,07:00 AM,05:00 PM,1900-01-01 07:00:00,1900-01-01 17:00:00,10.0,Sunday
nakuru,PARTS OF NAIVASHA,2025-08-17,9.00 A.M. - 4.00 P.M.,"['Fai Amarillo', 'Lower & Upper Kayole', 'Laini', 'Nyamathi', 'Kinungi', 'Roka Industries', 'Keroche Brewery', 'Kinamba', 'Maraigushu', 'Nyondia', 'Karate', 'Gatamaiyu', 'Livewire', 'NYS', 'DCK', 'Fish Eagle Inns', 'Oserian', 'Nyakinyua Farm', 'Kongoni', 'Sulmac', 'Goldsmith', 'Maela', 'Home Grown', 'VE GPRO', 'Naivasha County Club', 'Ndabibi', 'Kamuta Farm', 'Biojule & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf,032,Sunday 17.08.2025,Sunday 17.08.2025,9.00 AM- 4.00 PM,09:00 AM,04:00 PM,1900-01-01 09:00:00,1900-01-01 16:00:00,7.0,Sunday
narok,"PARTS OF DUKAMOJA, SUSWA",2025-08-20,9.00 A.M. - 5.00 P.M.,"['Naerenkiangare Mkt', 'Tikako Mkt', 'Lelongo', 'Dukamoja  Mkt', 'Suswa Mkt', 'Olasit', 'Iseneto', 'Nkorionito', 'Narasha', 'Suswa S/S & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf,033,Wednesday  20.08.2025,Wednesday 20.08.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Wednesday
kericho,NGOINAROAD MARKET,2025-08-18,9.00 A.M. - 5.00 P.M.,"['Ngoinaroad Mkt', 'Tulwet Boys Sec', 'Mosore Center', 'Roret Boys', 'Reresik Centre', 'Part of Roret Mkt', 'Mabasi Centre', 'Bakitira Pri', 'Monoru & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf,035,Monday 18.08.2025,Monday 18.08.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Monday
busia,"BUSIA TOWN, MALABA",2025-08-19,9.00 A.M. – 5.00 P.M.,"['Amairo', 'KPLC Offices', 'Okimaru', 'Malaba Mkt', 'Adongosi', 'Lugoris', 'Tesia Bakery', 'Busia Prisons', 'Khetias S/Mkt', 'Halupe Univ & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf,040,Tuesday 19.08.2025,Tuesday 19.08.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Tuesday
